e000 3d_rotation 
e146 volume_mute 
e147 volume_off 
e148 volume_up 
e149 web 
e14a web_asset 
e14b alternate_email 
e14c business 
e14d call 
e14e call_end 
e14f call_made 
e150 call_merge 
e151 call_missed 
e152 call_missed_outgoing 
e153 call_received 
e154 call_split 
e155 cancel_presentation 
e156 cell_wifi 
e157 chat 
e158 chat_bubble 
e159 chat_bubble_outline 
e15a clear_all 
e15b comment 
e15c contact_mail 
e15d contact_phone 
e15e contacts 
e15f desktop_access_disabled 
e160 dialer_sip 
e161 dialpad 
e162 domain_disabled 
e163 duo 
e164 email 
e165 forum 
e166 import_contacts 
e167 import_export 
e168 invert_colors_off 
e169 list_alt 
e16a live_help 
e16b location_off 
e16c location_on 
e16d mail_outline 
e16e message 
e16f mobile_screen_share 
e170 no_sim 
e171 pause_presentation 
e172 person_add_disabled 
e173 phone 
e174 phonelink_erase 
e175 phonelink_lock 
e176 phonelink_ring 
e177 phonelink_setup 
e178 portable_wifi_off 
e179 present_to_all 
e17a print_disabled 
e17b ring_volume 
e17c rss_feed 
e17d screen_share 
e17e sentiment_satisfied_alt 
e17f speaker_phone 
e180 stay_current_landscape 
e181 stay_current_portrait 
e182 stay_primary_landscape 
e183 stay_primary_portrait 
e184 stop_screen_share 
e185 swap_calls 
e186 textsms 
e187 unsubscribe 
e188 voicemail 
e189 vpn_key 
e18a add 
e18b add_box 
e18c add_circle 
e18d add_circle_outline 
e18e archive 
e18f backspace 
e190 ballot 
e191 block 
e192 clear 
e193 create 
e194 delete_sweep 
e195 drafts 
e196 file_copy 
e197 filter_list 
e198 flag 
e199 font_download 
e19a forward 
e19b gesture 
e19c how_to_reg 
e19d how_to_vote 
e19e inbox 
e19f link 
e1a0 link_off 
e1a1 low_priority 
e1a2 mail 
e1a3 markunread 
e1a4 move_to_inbox 
e1a5 next_week 
e1a6 outlined_flag 
e1a7 redo 
e1a8 remove 
e1a9 remove_circle 
e1aa remove_circle_outline 
e1ab reply 
e1ac reply_all 
e1ad report 
e1ae report_off 
e1af save 
e1b0 save_alt 
e1b1 select_all 
e1b2 send 
e1b3 sort 
e1b4 text_format 
e1b5 unarchive 
e1b6 undo 
e1b7 waves 
e1b8 weekend 
e1b9 where_to_vote 
e1ba access_alarm 
e1bb access_alarms 
e1bc access_time 
e1bd add_alarm 
e1be add_to_home_screen 
e1bf airplanemode_active 
e1c0 airplanemode_inactive 
e1c1 battery_20 
e1c2 battery_30 
e1c3 battery_50 
e1c4 battery_60 
e1c5 battery_80 
e1c6 battery_90 
e1c7 battery_alert 
e1c8 battery_charging_20 
e1c9 battery_charging_30 
e1ca battery_charging_50 
e1cb battery_charging_60 
e1cc battery_charging_80 
e1cd battery_charging_90 
e1ce battery_charging_full 
e1cf battery_full 
e1d0 battery_std 
e1d1 battery_unknown 
e1d2 bluetooth 
e1d3 bluetooth_connected 
e1d4 bluetooth_disabled 
e1d5 bluetooth_searching 
e1d6 brightness_auto 
e1d7 brightness_high 
e1d8 brightness_low 
e1d9 brightness_medium 
e1da data_usage 
e1db developer_mode 
e1dc devices 
e1dd dvr 
e1de gps_fixed 
e1df gps_not_fixed 
e1e0 gps_off 
e1e1 graphic_eq 
e1e2 location_disabled 
e1e3 location_searching 
e1e4 mobile_friendly 
e1e5 mobile_off 
e1e6 network_cell 
e1e7 network_wifi 
e1e8 nfc 
e1e9 screen_lock_landscape 
e1ea screen_lock_portrait 
e1eb screen_lock_rotation 
e1ec screen_rotation 
e1ed sd_storage 
e1ee settings_system_daydream 
e1ef signal_cellular_0_bar 
e1f0 signal_cellular_1_bar 
e1f1 signal_cellular_2_bar 
e1f2 signal_cellular_3_bar 
e1f3 signal_cellular_4_bar 
e1f4 signal_cellular_alt 
e1f5 signal_cellular_connected_no_internet_0_bar 
e1f6 signal_cellular_connected_no_internet_1_bar 
e1f7 signal_cellular_connected_no_internet_2_bar 
e1f8 signal_cellular_connected_no_internet_3_bar 
e1f9 signal_cellular_connected_no_internet_4_bar 
e1fa signal_cellular_no_sim 
e1fb signal_cellular_null 
e1fc signal_cellular_off 
e1fd signal_wifi_0_bar 
e1fe signal_wifi_1_bar 
e1ff signal_wifi_1_bar_lock 
e200 signal_wifi_2_bar 
e201 signal_wifi_2_bar_lock 
e202 signal_wifi_3_bar 
e203 signal_wifi_3_bar_lock 
e204 signal_wifi_4_bar 
e205 signal_wifi_4_bar_lock 
e206 signal_wifi_off 
e207 storage 
e208 usb 
e209 wallpaper 
e20a widgets 
e20b wifi_lock 
e20c wifi_tethering 
e20d add_comment 
e20e attach_file 
e20f attach_money 
e210 bar_chart 
e211 border_all 
e212 border_bottom 
e213 border_clear 
e214 border_color 
e215 border_horizontal 
e216 border_inner 
e217 border_left 
e218 border_outer 
e219 border_right 
e21a border_style 
e21b border_top 
e21c border_vertical 
e21d bubble_chart 
e21e drag_handle 
e21f format_align_center 
e220 format_align_justify 
e221 format_align_left 
e222 format_align_right 
e223 format_bold 
e224 format_clear 
e225 format_color_fill 
e226 format_color_reset 
e227 format_color_text 
e228 format_indent_decrease 
e229 format_indent_increase 
e22a format_italic 
e22b format_line_spacing 
e22c format_list_bulleted 
e22d format_list_numbered 
e22e format_list_numbered_rtl 
e22f format_paint 
e230 format_quote 
e231 format_shapes 
e232 format_size 
e233 format_strikethrough 
e234 format_textdirection_l_to_r 
e235 format_textdirection_r_to_l 
e236 format_underlined 
e237 functions 
e238 highlight 
e239 insert_chart 
e23a insert_chart_outlined 
e23b insert_comment 
e23c insert_drive_file 
e23d insert_emoticon 
e23e insert_invitation 
e23f insert_link 
e240 insert_photo 
e241 linear_scale 
e242 merge_type 
e243 mode_comment 
e244 monetization_on 
e245 money_off 
e246 multiline_chart 
e247 notes 
e248 pie_chart 
e249 publish 
e24a scatter_plot 
e24b score 
e24c short_text 
e24d show_chart 
e24e space_bar 
e24f strikethrough_s 
e250 table_chart 
e251 text_fields 
e252 title 
e253 vertical_align_bottom 
e254 vertical_align_center 
e255 vertical_align_top 
e256 wrap_text 
e257 attachment 
e258 cloud 
e259 cloud_circle 
e25a cloud_done 
e25b cloud_download 
e25c cloud_off 
e25d cloud_queue 
e25e cloud_upload 
e25f create_new_folder 
e260 folder 
e261 folder_open 
e262 folder_shared 
e263 cast 
e264 cast_connected 
e265 cast_for_education 
e266 computer 
e267 desktop_mac 
e268 desktop_windows 
e269 developer_board 
e26a device_hub 
e26b device_unknown 
e26c devices_other 
e26d dock 
e26e gamepad 
e26f headset 
e270 headset_mic 
e271 keyboard 
e272 keyboard_arrow_down 
e273 keyboard_arrow_left 
e274 keyboard_arrow_right 
e275 keyboard_arrow_up 
e276 keyboard_backspace 
e277 keyboard_capslock 
e278 keyboard_hide 
e279 keyboard_return 
e27a keyboard_tab 
e27b keyboard_voice 
e27c laptop 
e27d laptop_chromebook 
e27e laptop_mac 
e27f laptop_windows 
e280 memory 
e281 mouse 
e282 phone_android 
e283 phone_iphone 
e284 phonelink 
e285 phonelink_off 
e286 power_input 
e287 router 
e288 scanner 
e289 security 
e28a sim_card 
e28b smartphone 
e28c speaker 
